post_id,MEIBI
5254,2.62069
12734,41.14204
13756,8.02083
1584,57.91304
7761,0.3352
15692,0.0
11116,0.29217
52,56.0
7752,4.96089
11881,2.47319
7376,23.857570000000006
8241,0.80412
3825,0.0
17995,7.176660000000001
391,11.25
2467,0.93694
1419,1.6
9269,2.10066
11880,0.53628
15222,0.48758
7420,50.94985
9093,12.63964
2532,0.0
10032,0.7258399999999999
1500,11.07692
16794,0.77407
6740,2.60526
34,720.0
15418,0.7176100000000001
4841,2.9434
13383,1.34054
7492,5.4577300000000015
12040,0.76662
1477,6.5625
8052,0.192
3734,0.0
10337,2.42884
7938,13.8587
11760,0.5814699999999999
10066,0.29804
14503,0.75061
16269,10.08502
15263,0.83596
16862,1.6439400000000002
7605,8.816089999999997
3776,7.75758
14498,0.53269
14432,0.5372399999999999
11213,35.19726
16485,0.17409000000000002
9538,0.05031
6943,16.40506
4412,2.1875
17351,3.26987
16029,7.23333
13958,0.53503
462,4.42105
16564,9.79824
1019,19.72727
11879,0.0
1587,1.97101
11211,0.92624
16088,0.76112
1692,1.20548
19443,0.0
17476,2.13333
3481,1.87013
7890,10.99178
8817,0.0
5814,2.76923
7310,19.81982
3489,1.03896
6854,0.96774
10912,1.6412099999999998
5427,2.32365
11510,0.37624
7891,6.88525
8525,0.44226
9212,0.35477
12584,0.05814
8511,0.32432
17019,0.14733
16594,0.21854
16294,18.91313
11887,1.47634
5234,10.75862
5007,5.01818
17588,2.39396
3682,12.44444
7078,1.60991
9582,0.96033
17507,1.3061200000000002
12180,0.23708
8167,3.07853
13361,2.11382
4150,0.04469
6719,18.08581
9930,2.57884
14345,1.63838
17553,0.0
15245,0.3788
17328,7.69177
17079,2.66545
15252,0.8369
8106,9.34037
10866,0.24955
14539,2.16346
764,24.375
5544,1.16129
4307,16.55026
12959,1.73277
9859,0.7228899999999999
7404,4.47337
4517,18.01005
3851,74.84024000000002
18855,0.33333
11037,0.14035
16690,0.0
18523,0.26182
15390,0.41379
2751,6.78689
3696,0.74074
1462,0.0
13665,6.67192
8866,0.78322
760,18.75
15216,0.75932
4891,0.0
3646,0.04908
10667,0.0
9127,1.06966
2189,42.24
17344,0.14672000000000002
2299,0.0
19350,0.0
184,9.0
9768,0.87805
4750,0.0
5698,9.07087
12111,0.0
6185,7.10469
17536,3.4276
8660,10.03846
15600,2.96296
4013,10.28571
10080,15.78082
3401,0.0
9603,2.0
10223,2.76923
7423,3.3038300000000005
5319,4.68085
18734,0.10796
12146,0.19542
2546,37.05263
16548,0.36506
13213,0.46091
12255,0.08446000000000001
1652,8.66667
12950,0.00563
3909,1.2
13772,0.11429
2869,1.2093
14865,2.74912
7239,40.25455
12954,0.37131
149,0.0
13878,7.789739999999999
13372,0.04871
14925,1.41204
296,137.45455
776,11.63636
17973,0.8361
1541,0.8955200000000001
6213,2.2
12897,9.60452
16005,0.9205
17566,1.11205
9721,0.0
4248,0.97297
8980,15.70709
16583,1.3320299999999998
258,0.0
3517,3.09677
2399,1.0
17833,0.43977
9646,0.09091
3182,0.0
14735,1.88679
7474,4.09357
15896,2.4904900000000003
16178,0.4499
14802,1.16569
5420,0.0
1818,0.70886
8756,1.02128
18886,1.04255
15293,0.0
1822,0.0
17046,1.02479
16921,0.75188
4707,0.0
8315,0.0
8175,0.25131
3198,0.0
7215,2.33435
5983,0.47761
2819,1.2381
5776,10.34749
16280,0.2548
10825,3.45422
9931,1.06188
4256,5.9027
18953,8.17221
19430,0.04587
16443,0.09543
10062,0.0
9302,0.36601
17003,0.44362
8915,7.56481
19122,0.92653
18055,0.71194
12422,2.18074
810,48.0
16186,1.46939
16440,0.49353
12778,0.0
11479,0.18512
14946,9.31792
1144,1.28
19161,0.0
151,0.0
10473,3.54307
13287,11.3188
13417,3.93548
6612,0.28188
14992,0.4557
769,0.5
718,41.80645
6157,2.73913
9939,0.26347
15160,28.14512
5789,2.3166
1648,22.66667
15065,0.42563
6829,0.0
6080,0.23443000000000006
2333,1.81132
15975,0.0
6305,0.67845
14372,0.0
15122,0.41002
17998,0.55477
6110,13.75182
14391,1.41176
17027,1.25851
2158,1.0
592,15.84
11438,0.95681
16731,0.1537
11200,1.51203
17,40.0
19097,0.5241399999999999
10944,3.1773
9637,0.0
7668,1.98864
15597,0.22222
7020,0.32602
5289,1.7094
15153,0.70375
5128,1.84071
14268,0.92193
18565,0.19611
8227,0.7751899999999999
7269,54.53012
6519,3.2381
14701,5.78199
7839,9.04155
3237,6.71329
18680,0.05053
16432,0.15124
1354,5.24138
7159,1.34969
4270,0.0
2626,1.51724
10727,39.83303
15316,0.36282
17997,4.91726
8880,1.23721
10972,1.5873
2792,79.47967
12841,3.27273
11876,0.7582899999999999
10923,0.8865200000000001
4019,12.32
16395,0.33566
